epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,760.746,1.15264,0.60216,0.91734,0.99457,1,0.995,0.53697,1.50056,0.58594,1.00376,0.00160796,0.00160796,0.00160796
101,767.119,1.18223,0.60531,0.93145,0.99505,1,0.995,0.5411,1.48629,0.59363,0.99915,0.001604,0.001604,0.001604
102,775.31,1.1707,0.60615,0.93406,0.99275,1,0.995,0.61262,1.44541,0.63063,0.98977,0.00160004,0.00160004,0.00160004
103,782.676,1.2201,0.623,0.96847,0.99369,1,0.995,0.60334,1.42085,0.62355,0.99796,0.00159608,0.00159608,0.00159608
104,789.493,1.21146,0.61017,0.9931,0.99511,1,0.995,0.59298,1.47924,0.59193,1.0121,0.00159212,0.00159212,0.00159212
105,796.264,1.19731,0.5901,0.93444,0.99561,1,0.995,0.60052,1.54009,0.61162,1.02524,0.00158816,0.00158816,0.00158816
106,802.535,1.13731,0.60352,0.93107,0.99544,1,0.995,0.60221,1.43826,0.57666,0.99763,0.0015842,0.0015842,0.0015842
107,810.591,1.20071,0.61431,0.9678,0.99506,1,0.995,0.64418,1.31857,0.55725,0.9776,0.00158024,0.00158024,0.00158024
108,817.307,1.08951,0.57798,0.92834,0.99489,1,0.995,0.63634,1.35198,0.56965,0.99581,0.00157628,0.00157628,0.00157628
109,823.029,1.17467,0.58735,0.95812,0.99496,1,0.995,0.61351,1.41022,0.5699,1.00946,0.00157232,0.00157232,0.00157232
110,829.465,1.17654,0.62017,0.95784,0.99509,1,0.995,0.61874,1.36912,0.6062,1.00201,0.00156836,0.00156836,0.00156836
111,837.585,1.13587,0.57678,0.94543,0.99518,1,0.995,0.65068,1.3035,0.55638,0.97324,0.0015644,0.0015644,0.0015644
112,843.911,1.09511,0.55795,0.94935,0.99491,1,0.995,0.66073,1.29818,0.549,0.9722,0.00156044,0.00156044,0.00156044
113,851.571,1.19213,0.59238,0.9855,0.99495,1,0.995,0.67082,1.3232,0.55175,0.98069,0.00155648,0.00155648,0.00155648
114,858.307,1.12977,0.57248,0.94499,0.99486,1,0.995,0.67478,1.31874,0.5373,0.98372,0.00155252,0.00155252,0.00155252
115,866.14,1.14585,0.56344,0.95149,0.99463,1,0.995,0.65863,1.29061,0.54754,0.97137,0.00154856,0.00154856,0.00154856
116,873.76,1.1955,0.63062,0.97444,0.9883,1,0.995,0.65373,1.31919,0.58151,0.9902,0.0015446,0.0015446,0.0015446
117,880.195,1.12492,0.61791,0.92509,0.99451,1,0.995,0.65038,1.31057,0.58066,0.98856,0.00154064,0.00154064,0.00154064
118,886.796,1.15185,0.60121,0.95373,0.99509,1,0.995,0.70634,1.30058,0.56636,0.98986,0.00153668,0.00153668,0.00153668
119,894.67,1.09995,0.55704,0.93439,0.99409,1,0.995,0.70223,1.28154,0.58045,0.98631,0.00153272,0.00153272,0.00153272
120,902.246,1.17733,0.57263,0.95451,0.99441,1,0.995,0.68402,1.27977,0.55183,0.97501,0.00152876,0.00152876,0.00152876
121,909.268,1.16677,0.54911,0.94129,0.99422,1,0.995,0.65995,1.32389,0.55558,0.98238,0.0015248,0.0015248,0.0015248
122,918.045,1.17051,0.58015,0.96492,0.99476,1,0.995,0.65615,1.32298,0.56626,0.97702,0.00152084,0.00152084,0.00152084
123,926.644,1.16748,0.5889,0.94266,0.99477,1,0.995,0.66102,1.33813,0.58966,0.97298,0.00151688,0.00151688,0.00151688
124,933.534,1.21026,0.59839,0.94403,0.99497,1,0.995,0.69718,1.2788,0.55827,0.95573,0.00151292,0.00151292,0.00151292
125,939.894,1.17839,0.59432,0.90705,0.99507,1,0.995,0.68387,1.22719,0.52965,0.94627,0.00150896,0.00150896,0.00150896
126,946.106,1.20779,0.60052,0.95691,0.99475,1,0.995,0.69255,1.24929,0.53358,0.95332,0.001505,0.001505,0.001505
127,953.264,1.11715,0.58271,0.96332,0.995,1,0.995,0.63518,1.41426,0.58068,0.9881,0.00150104,0.00150104,0.00150104
128,960.966,1.19239,0.61816,0.96293,0.99488,1,0.995,0.61301,1.49492,0.58873,1.01606,0.00149708,0.00149708,0.00149708
129,967.41,1.2171,0.60854,0.93705,0.99477,1,0.995,0.59251,1.49706,0.58926,1.01837,0.00149312,0.00149312,0.00149312
130,974.339,1.13967,0.58398,0.95261,0.99473,1,0.995,0.57124,1.49596,0.55861,1.01328,0.00148916,0.00148916,0.00148916
131,985.435,1.1383,0.58797,0.93682,0.99467,1,0.995,0.55517,1.51959,0.61369,1.02415,0.0014852,0.0014852,0.0014852
132,994.86,1.19484,0.60584,0.98375,0.99006,1,0.995,0.56288,1.54243,0.6712,1.03216,0.00148124,0.00148124,0.00148124
133,1004.8,1.14763,0.57567,0.96145,0.98663,1,0.995,0.582,1.49331,0.68941,1.01495,0.00147728,0.00147728,0.00147728
134,1010.39,1.10033,0.5567,0.9122,0.9919,1,0.995,0.63659,1.36725,0.6061,0.97669,0.00147332,0.00147332,0.00147332
135,1017.09,1.11,0.57005,0.92964,0.99505,1,0.995,0.58255,1.51183,0.60096,1.00117,0.00146936,0.00146936,0.00146936
136,1022.41,1.19081,0.59881,0.92487,0.995,1,0.995,0.60308,1.54715,0.61524,1.01289,0.0014654,0.0014654,0.0014654
137,1028.09,1.09641,0.57661,0.90187,0.99487,1,0.995,0.60777,1.4867,0.61236,1.00273,0.00146144,0.00146144,0.00146144
138,1033.61,1.09659,0.56647,0.90234,0.99472,1,0.995,0.61977,1.39715,0.59659,0.99377,0.00145748,0.00145748,0.00145748
139,1039.04,1.11589,0.55504,0.92833,0.99512,1,0.995,0.59067,1.50713,0.60196,1.00842,0.00145352,0.00145352,0.00145352
140,1045.06,1.15545,0.55829,0.95884,0.99492,1,0.995,0.57796,1.49914,0.59458,1.00658,0.00144956,0.00144956,0.00144956
141,1051.28,1.09087,0.59891,0.90268,0.99509,1,0.995,0.58141,1.48043,0.60222,1.01808,0.0014456,0.0014456,0.0014456
142,1058.94,1.16505,0.56601,0.91652,0.99516,1,0.995,0.61324,1.48969,0.58501,1.02434,0.00144164,0.00144164,0.00144164
143,1064.74,1.07707,0.54744,0.92873,0.99514,1,0.995,0.65199,1.48162,0.57036,1.0129,0.00143768,0.00143768,0.00143768
144,1070.55,1.14541,0.56191,0.94762,0.99529,1,0.995,0.62585,1.54784,0.5964,1.02897,0.00143372,0.00143372,0.00143372
145,1077.97,1.05671,0.547,0.92505,0.99561,1,0.995,0.61883,1.63036,0.61134,1.04976,0.00142976,0.00142976,0.00142976
146,1083.78,1.13746,0.56355,0.92522,0.99557,1,0.995,0.59341,1.59771,0.61883,1.0412,0.0014258,0.0014258,0.0014258
147,1089.67,1.14852,0.57232,0.93604,0.99542,1,0.995,0.61654,1.48008,0.58985,1.00888,0.00142184,0.00142184,0.00142184
148,1095.63,1.10302,0.53767,0.95071,1,1,0.995,0.5829,1.57903,0.58401,1.03411,0.00141788,0.00141788,0.00141788
149,1101.29,1.12157,0.56085,0.95976,1,1,0.995,0.58342,1.6007,0.57782,1.03707,0.00141392,0.00141392,0.00141392
150,1108.55,1.07581,0.5202,0.91628,1,1,0.995,0.61385,1.49894,0.54545,1.00805,0.00140996,0.00140996,0.00140996
151,1114.51,1.17313,0.55793,0.95604,1,1,0.995,0.61259,1.48515,0.53043,1.00681,0.001406,0.001406,0.001406
152,1121.11,1.10201,0.57571,0.94358,0.99522,1,0.995,0.6053,1.52343,0.53901,1.01544,0.00140204,0.00140204,0.00140204
153,1127.09,1.24912,0.64314,0.97552,0.99501,1,0.995,0.57653,1.55176,0.55098,1.0234,0.00139808,0.00139808,0.00139808
154,1133.85,1.0911,0.53127,0.93813,0.99491,1,0.995,0.58677,1.49199,0.57225,1.01431,0.00139412,0.00139412,0.00139412
155,1140.73,1.10234,0.56049,0.93985,0.99539,1,0.995,0.62755,1.4526,0.61662,1.00986,0.00139016,0.00139016,0.00139016
156,1146.57,1.10259,0.5385,0.9344,1,1,0.995,0.63088,1.4618,0.59875,1.00821,0.0013862,0.0013862,0.0013862
157,1152.59,1.09959,0.56641,0.97531,1,1,0.995,0.63809,1.47502,0.58821,1.00425,0.00138224,0.00138224,0.00138224
158,1158.6,1.09991,0.55189,0.91712,1,1,0.995,0.64325,1.45282,0.55479,0.99207,0.00137828,0.00137828,0.00137828
159,1165.74,1.04044,0.5098,0.9039,1,1,0.995,0.66715,1.35009,0.55808,0.97652,0.00137432,0.00137432,0.00137432
160,1172.94,1.17849,0.54008,0.95643,1,1,0.995,0.63461,1.45668,0.56583,0.99604,0.00137036,0.00137036,0.00137036
161,1179.09,1.11414,0.54837,0.95307,0.99544,1,0.995,0.57961,1.54109,0.55562,1.0233,0.0013664,0.0013664,0.0013664
162,1185.13,1.16387,0.55562,0.96462,0.99542,1,0.995,0.60363,1.49491,0.53569,1.00836,0.00136244,0.00136244,0.00136244
163,1192.98,1.08102,0.53251,0.90192,0.99484,1,0.995,0.65049,1.32921,0.52893,0.97868,0.00135848,0.00135848,0.00135848
164,1199.97,1.09371,0.57222,0.90959,0.99457,1,0.995,0.63613,1.32823,0.52839,0.98051,0.00135452,0.00135452,0.00135452
165,1205.31,1.11507,0.53314,0.91858,0.99477,1,0.995,0.6271,1.36487,0.526,0.98423,0.00135056,0.00135056,0.00135056
166,1211.25,1.09362,0.51879,0.94156,0.99523,1,0.995,0.60971,1.42913,0.53704,0.99961,0.0013466,0.0013466,0.0013466
167,1217.49,1.10369,0.52475,0.92995,0.99484,1,0.995,0.65834,1.33033,0.54377,0.98565,0.00134264,0.00134264,0.00134264
168,1225.08,1.07062,0.52488,0.92505,0.99494,1,0.995,0.67479,1.31416,0.521,0.98537,0.00133868,0.00133868,0.00133868
169,1231.84,1.09117,0.53841,0.90456,0.99517,1,0.995,0.69121,1.29876,0.51835,0.97553,0.00133472,0.00133472,0.00133472
170,1239.02,1.1141,0.53149,0.9248,0.99492,1,0.995,0.65879,1.36899,0.5168,0.9874,0.00133076,0.00133076,0.00133076
171,1245.14,1.08522,0.53378,0.94231,0.99524,1,0.995,0.66635,1.42505,0.56261,1.00219,0.0013268,0.0013268,0.0013268
172,1251.06,1.07863,0.52733,0.92451,0.99564,1,0.995,0.66758,1.331,0.54835,0.98153,0.00132284,0.00132284,0.00132284
173,1258.47,1.1189,0.5515,0.90869,0.99562,1,0.995,0.66626,1.30353,0.54719,0.97345,0.00131888,0.00131888,0.00131888
174,1265.39,1.08094,0.52572,0.9274,0.99526,1,0.995,0.66489,1.34338,0.54986,0.98129,0.00131492,0.00131492,0.00131492
175,1271.88,1.013,0.49746,0.90675,0.99547,1,0.995,0.62546,1.3832,0.55173,0.99664,0.00131096,0.00131096,0.00131096
176,1277.59,1.06612,0.52144,0.927,0.9954,1,0.995,0.64657,1.3683,0.57594,0.99216,0.001307,0.001307,0.001307
177,1283.62,1.08202,0.53989,0.92363,0.99541,1,0.995,0.65127,1.37072,0.59971,0.99525,0.00130304,0.00130304,0.00130304
178,1290.44,1.09487,0.52512,0.91512,0.99516,1,0.995,0.63961,1.40062,0.60494,1.0115,0.00129908,0.00129908,0.00129908
179,1296.32,0.99265,0.51585,0.88696,0.9952,1,0.995,0.60028,1.43263,0.54617,1.01228,0.00129512,0.00129512,0.00129512
180,1302.22,1.1003,0.51487,0.91632,0.99528,1,0.995,0.57499,1.46163,0.57795,1.00583,0.00129116,0.00129116,0.00129116
181,1307.61,0.97865,0.51525,0.88193,0.99529,1,0.995,0.56934,1.42866,0.58426,0.99634,0.0012872,0.0012872,0.0012872
